,ZH8811Bbulk,ZH881T1
IL27,0.06719424109889868,0.06861757954139917
CD99,0.004667419645060939,-0.061607123550021306
PDGFB,-0.04793005722829109,-0.040165558860528944
CLEC2D,0.039906507100947744,-0.04834776501754952
F8,0.06621538349058567,0.013433635054823331
C3,-0.03377550300543766,-0.07637901774150589
DLK2,0.039199226027969936,0.048113685969449586
TSLP,-0.0010843840221072835,-0.02834730382712607
OSM,-0.015611335078133651,0.05508213823984626
SLPI,-0.06943503754637785,-0.05429944158260799
AFDN,0.0268754655784101,0.07731519203406476
KISS1,-0.015305172169520364,0.06340964348475407
ULBP2,0.08645560226533272,0.08342668295832852
ICAM4,-0.013427277620927306,
ANGPTL1,0.08505613410701755,0.09136652798174613
LTBP1,0.006527183496052419,-0.012258657907611848
NTN4,0.018124654200010866,-0.01657490050396171
APP,-0.05721991308272942,0.0885931446665766
RIMS2,-0.013088633664662125,0.03989442258667014
WNT7A,0.008058151680409882,0.06206378893339196
GAST,-0.01530517244645863,
GPI,-0.06573583230515757,-0.034159768769936816
IL1B,-0.05616399284902864,-0.0016212504379313128
SFTPA2,-0.013225718873956044,0.002352769196891679
HAS2,-0.03365679678434033,-0.019823110523631043
IL11,0.12008382739332847,-0.032467414192387425
SEMA4B,0.0008710003977756148,-0.00737426204525116
FGF12,0.03861012617988002,0.05196437942494257
CP,-0.03604660753946473,0.02362258050266472
NLGN3,0.040014988201658955,0.011789658218067333
GZMB,-0.01897314418899128,-0.02075546928081815
PROC,-0.016167472961590438,0.02547618489445784
TNFSF11,-0.016167466749758892,
AGT,-0.07676834931085752,-0.03282761036238291
PTHLH,0.014103097604191223,-0.0416934743537708
COL1A1,-0.08184235624309866,-0.009526204011799343
LAMB2,-0.05936526507937198,-0.09374076644615953
DSC2,-0.0428653788194373,0.0076659347816606
WNT5B,-0.0012691081548505863,0.00734683695807052
LEFTY1,0.10245162731021297,0.006515862876274927
FGL1,-0.021447324574958924,0.01661069847662044
