,UKF296,UKF304,ZH1019T1,ZH8812bulk
TIMP1,0.03146923200929684,0.12198267253141805,0.07487252219771325,-0.05746241369164622
SEMA3C,-0.01120772483138053,0.0868709007547566,0.0496471069510944,-0.009804617181629567
GAS6,-0.003323003515570344,0.035740931565187505,-0.09077545649269585,-0.044233468131251105
MEPE,-0.01950907546674604,0.0012523403614951166,,
SERPINE1,-0.03973563149637177,0.023508855673659117,-0.0551443385094223,-0.03172926852269966
RSPO2,-0.033111709314110685,-0.029818032096800565,,-0.06590572181530008
SHBG,0.017280501929116898,-0.01732118601589189,-0.0038955121960319436,0.014146727159660854
LGALS3BP,0.03469276743533465,0.15562697721421395,-0.06114440121392821,0.04012005795719679
LAMB1,-0.04843438674460692,0.014142216867267465,0.08052409005857837,-0.006744370422347658
SPTBN2,-0.016981199537259427,-0.09917350155239926,-0.13367286839742248,0.01396524407637164
COL1A2,0.009968450658347559,0.11868414430610424,0.12265005191984231,-0.007186565780456866
WNT11,0.019477447754176563,,,
LGALS1,-0.02909223997341136,0.09036665023827282,-0.00013229179108282846,0.03917346493720663
BCAN,0.005465292837101106,-0.11247558097608795,0.06200816196386836,0.007997732981072729
ANOS1,0.027647278590758162,0.0026880537736233417,0.01666557389308152,-0.0026877961529622606
EDA,-0.019980068118071428,-0.021194542181796488,-0.09136209926920572,-0.03834752873213844
FGF22,-0.016040137727685082,-0.03654943314488359,,-0.02190932233672598
SHANK1,-0.020080801414633916,-0.02835105859603853,,
TGFB1,-0.013023630605910663,0.08022374194084703,0.032499436989564756,-0.02701021773215985
MSTN,-0.0179213068359318,,-0.031512165506355654,0.005420823283300032
WNT4,-0.013131211909330536,-0.026763491227219414,,0.05317668869823584
TNFSF4,-0.01493874959014896,0.045134818726882533,0.048812327058712024,-0.04040494952033088
NTN1,-0.019110836231421978,0.07012246968869906,0.022458916290582845,-0.022552841317604055
CXCL12,0.00330730601148674,0.0019408629505437835,0.010227588825697846,-0.05932679217177791
GNRH1,0.04492695936688467,-0.019823610448125337,0.05945154048402413,0.01346808170352918
RIMS1,-0.0030426112181406,-0.06921818092666454,0.012296127039869148,-0.06973089939612699
FGF14,-0.021829636924593162,-0.10575496654602962,-0.026321911632758564,0.06767237930388521
IGF1,-0.03264012856170696,0.014214721912346165,-0.05159151623158694,0.05075239244227868
TNFSF10,0.010214623267281613,0.06401725610843603,0.0645386517863562,-0.0028484867515274786
GDF5,-0.016040137964332474,0.01802886817053926,,0.002194429741754152
CHAD,0.007299671675641306,,,-0.02954799327973465
RGMA,-0.04022667494668836,0.026713495141607486,0.06748688013633082,-0.008908656618189306
CLEC3A,-0.011724016896730858,,,
WNT16,0.031047380893806112,-0.026763493538894054,,-0.024409789000514274
CX3CL1,-0.05657876838122565,-0.09762799914340993,0.14843184735847056,0.006312597754175155
FGF1,0.018262722292926175,0.006275379246697996,0.022981822877863278,0.0822509175092955
ALOX5AP,-0.0015234519764291583,0.12526585738374416,0.04766592539531052,0.03999562722263043
IL1RN,,0.16395469487330025,0.04373142487608938,
NPW,,,-0.027917110765572965,0.04721577850783881
CXCL9,0.019069968113468977,-0.017847622820635862,-0.0874170221610654,-0.03197837417446452
ANGPTL4,-0.0329205083761127,0.01792454389835103,-0.07955098182333187,-0.01387086482165864
COL4A3,0.029729507001018222,,,0.027174945982849794
NRG3,-0.015985341185745742,-0.09662144254771128,-0.04685649133551525,0.03611994742718163
IL23A,,,-0.04939928479178651,
COLQ,0.021439746684446197,-0.039029325028880596,0.02896180161036268,-0.03368625834255686
TNFSF12,0.0276159585455326,0.041341014422557575,0.04036074674690558,0.005039504719202407
DKK2,-0.01103731989963459,-0.03195492317791347,,
FYN,0.010467743650629403,-0.00019987323530304424,0.10263899489898017,-0.021706855981078806
ACE,-0.016737000568222228,-0.026082536397928572,-0.012855896063762,-0.012103560410255827
IL18,-0.0014263723128425934,0.12538356258362846,0.08476558636026242,0.05842269500861273
PPBP,,,,-0.015145597855481066
CCL27,-0.011370027500669348,-0.021850772799410223,0.016553527471574316,-0.033697696969300514
SERPING1,0.05277883418616679,0.11625027251618687,0.1115557546906855,0.016898929202429715
AZGP1,-0.021938541281469933,-0.03181662191974178,,0.0743187444206386
INHA,-0.017517751159830095,-0.011917779815546975,-0.09064750723740202,-0.007818649008947437
SEMA3G,-0.02139603506420607,-0.024707104594385822,-0.04998067328529855,-0.025150949989116694
COL6A1,0.049790959917295284,0.01760516088635077,0.008972271684725289,-0.07557233923488164
FGF17,0.0050777962901866255,-0.031483161034276626,,
TNFSF8,,,,-0.024409798490303284
FGF20,0.030714258444181984,0.0009689234668175923,0.10770133186267287,0.02285813034208046
ICAM3,-0.03198453670107942,0.0023659786736507627,0.017530692853247314,-0.03602191812904127
LAMA4,-0.016406064096529574,0.051926119571229654,0.07751019499053798,0.07191517272258867
DLL4,-0.015921259673941486,-0.02490006628476157,0.1270036110814722,-0.06086878081259749
SEMA3A,-0.04791174307990185,0.028349097081553868,,-0.04704624723360899
RLN2,0.012589152362579915,-0.023113085175750978,,-0.015688248460237326
C5,-0.018774818315762488,-0.036830888574773804,-0.04354866562638641,0.06548477313548831
COMP,,,,-0.029231388229866987
C1QA,0.0008403903304963095,0.14594973656642796,-0.0367178592093793,-0.032708747527609265
UTS2B,0.016480842672184418,,-0.03367236085672841,
COL9A3,-0.02640449986918757,-0.0031897092550330275,0.07623564216019052,-0.017696257291255107
HGF,-0.03875847859638298,0.032895603792720766,-0.005693429281311273,0.0603264593732834
P4HB,-0.03012264853991586,0.042762444330865616,-0.011121428352212083,-0.026249048881788813
ADCYAP1,-0.021759008459745186,-0.053755495600953294,0.003293624328231981,-0.02714813017779896
GREM1,0.008736503420945582,0.022695670698078034,0.012963888078761305,0.04778682958197354
EGF,0.01055925173766362,0.03765758406428875,-0.008049700347844026,-0.05337962804097827
VEGFB,0.04927576964299797,0.02784880628434547,0.07960705028141589,-0.06932790635671283
FARP2,-0.011072833065472977,0.037624060585984866,0.008570827665664554,0.07455180335600194
BMP3,0.04606293861676222,-0.01958666204784102,,
IHH,0.0284116586837998,,,
LAMA2,-0.004208292015481071,0.007859349392549647,0.05075032063927405,-0.018834325659902725
NRG1,-0.00526782273755709,-0.00918324969762181,-0.07104352139508635,
EFEMP2,0.029940845578855905,0.06969114535726215,-0.01623745508387378,0.018129576870423738
SELPLG,-0.03539670611443524,0.015749046062887732,-0.012772573553239156,-0.07262446763067386
HLA-E,-0.0025543561170198563,0.13826303369692264,0.10169197870195695,-0.025797215655388565
PTN,0.008930414257269632,0.07404600111015637,-0.0289864202068161,0.029550244964811106
CD274,0.0030158738590905887,-0.032729257623735464,-0.04599779002328704,-0.034028326424282856
FGF10,-0.01442416574917391,,,
CD14,-0.025202384115282816,0.1412661643663384,0.024442596071864255,-0.10472151876757593
SFTPD,0.0023884401684592686,,0.02828719198743698,-0.043013856861225636
SLIT1,-0.023050017069469936,-0.10013062343849742,-0.017030349669740524,0.048991859306734366
CNTF,-0.01291034060441323,0.12050571711038742,,0.11459330245977958
