,UKF243,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
ICOSLG,0.03809246526852162,0.07382379705913712,0.01527662374461099,-0.05844752438258988,-0.051610365170462094,0.04927237392629424,0.05219357322963337,-0.047540140503995736,0.07598240644390057,0.026274488063396034,0.05443354288689377,0.043823184275801105,0.09137630374447857,0.026973889031684625,0.08749963297823962,0.08891041688202045,-0.031743445508061886,0.07464728407459732,0.08906699412811507,-0.012464042463971006
WIF1,-0.11158369280120278,-0.006617221689776019,,0.05537460560766804,,-0.08617437963732347,-0.01084083007810784,-0.005055633596131425,,0.020413015425925586,,,,,,,,-0.03746568223959381,,0.06858716629609904
NPPC,0.07524262475584463,0.0034927863536124604,,0.09095447733037448,-0.011540710195934173,-0.04407253982994915,-0.02114701495222601,0.011265623041082737,,0.01294035331141154,-0.026640004138377176,-0.02372740066586431,-0.006035344145140285,0.0920534506759876,0.0654538837539901,0.09981394045906762,-0.020455462377992804,0.08673688798903156,,0.008442223555599787
LYZ,-0.0606163395066675,0.03753501892812957,0.022104114112284842,0.03578622892171696,-0.0466111650025488,0.08579765569616227,-0.0015852292969065166,0.007610903075400222,0.024148304912116756,0.06779796643668089,0.07793113969330535,-0.01071107389373385,0.032353476832752893,0.06066781895012248,-0.031224076992873093,0.03059122886946694,-0.024530098296648237,0.0024207837619109186,0.07296994396394844,-0.02642596040264017
EREG,,,,0.01073788206853226,,,,-0.019461097192467566,-0.021660273752565563,,,,,,0.013807749733659122,0.004869003877931125,,0.07167243553216235,0.009339282458767858,0.07009392437669892
SPTAN1,0.05000268183447943,0.00910237903969989,0.007913635643506679,-0.0877449731521574,-0.05284542298641773,-0.007108238860092889,-0.0011714040067779313,-0.023374821849773818,0.045369773961168196,0.01819509841426347,-0.05775378749843861,-0.024367817362389698,-0.07992155954388873,0.11245817005638835,0.025943893214513035,0.11206335494448684,-0.04977963255834467,0.034487831049501476,-0.07436091878529244,-0.11108162504600297
PTH2,,,,,,,,,,,,,,,,,,0.02389935568963496,,
LIPC,0.032564397174746545,0.0800857516395743,0.007234358669629067,,-0.027299945383898957,0.09098150424055339,0.006838104602501033,-0.0348544703705573,-0.010876126881441055,-0.022713739271340898,-0.02824899740814513,0.07332311974683035,-0.08799115184766097,-0.05115914773734913,,,-0.011556820440686419,,-0.011975375084193765,0.07501239553826697
COL8A1,0.08918599693857801,0.04068449433213928,-0.06517217899653319,-0.047991074925988884,-0.06295011571581965,0.158649642381955,0.06705302871293604,0.05373500414673804,-0.21302949264068335,-0.029879461345082688,0.09240747286028562,-0.0708903400441296,0.04290491118735489,-0.05210793105691037,0.03601308325235101,0.030667240955569292,-0.01316560805549585,0.034502121132706745,-0.010478926954850212,0.09021915473523898
GSTM2,0.046930236600610555,0.12038504275450146,0.09560947431870959,0.011110876340025591,0.023502984011146852,0.04813814910604512,0.009652082714137984,0.0038016012567928443,0.005287395384268037,0.06516244121216086,-0.041835327013890186,-0.024187018994065234,0.06390134172154358,0.05339156452868815,0.03301157331057372,0.04859120031320662,0.002187807029554739,-0.029979249294923044,-0.015614674295936335,-0.018447052270137473
IL4,,,,,,,,,,,,0.007088873048561977,,,,,,,,
SPX,-0.002455891141887424,0.009063214832670178,0.028107002255723285,,0.013926000926039381,-0.04401237046571387,0.020025050331186973,0.051721650659357514,,0.0012644311394179634,0.05184930737309289,,,-0.044137085241388326,0.04926147150806272,0.0246939495501813,-0.006591109822121788,0.03384619318178016,-0.05248160792790802,-0.009429329003418937
MFGE8,0.05816637490206724,0.05664516200531969,0.0008702744839839594,0.01435313647899047,0.007405784732873373,0.053011563748995794,0.010884630805990994,-0.0009989213613482277,-0.02933893218969686,-0.03997464086659242,0.020229380254694417,0.019622884323227938,-0.002339963097261976,0.04301061979253655,-0.002846683436091042,0.0636976239978429,0.018146701303663155,0.033534225540334923,0.26943926416196023,0.06524993448574219
TGFA,0.1775532985799744,0.032510415459857285,0.0446137910316847,-0.0039844127846312,-0.019878986261554606,0.08190022380528363,-0.02154463164725325,-0.05399319032833289,0.03134376141347087,-0.0012632495470491921,-0.056111163963355776,0.09705616246936068,0.004257538031976988,0.03386773935861366,0.05747383820336292,0.07098663847550331,0.010973741971648321,0.019943273055679982,0.03511765089560962,0.005498415945805019
SLIT2,-0.09611844254512263,0.04306977849699248,-0.0021522199625625673,-0.03053864910836936,0.014523568290445304,-0.05439125381793109,0.00905487438198768,-0.022341560041342745,-0.014487568750793982,0.07587702286323579,0.06502166536890883,0.02570130324417448,-0.0034440876823352354,-0.028158460315297916,0.10935359816245002,0.0354846465632115,0.02179685102789015,-0.019709490756097126,-0.012072202865525149,-0.01526899588981602
PLTP,0.0537606741189993,0.01744421087553395,-0.009486994650246928,-0.03677414986944977,-0.023196606518636392,0.0961473754360769,-0.07745331536592218,0.018239920767849634,0.09459679984637605,0.005775157521670254,0.026957054043690445,-0.024667094241616703,-0.000932742626888671,0.06856316778470446,-0.10651564433745053,0.0007394619283019099,0.010144854681839201,0.01472636193538444,0.1317104187912263,0.012221750805208032
