,UKF313,ZH916T1
WNT3,0.14076012826969,-0.013458730896476182
HSP90B1,0.049491698228792486,0.08315565081032071
ZP3,-0.020187317980863023,0.013159260058580117
NRG2,,-0.005137194821115378
MELTF,0.020553683331621796,0.0024409672166996028
NLGN1,-0.019329706626252132,-0.026878333348811963
SLIT3,0.05201532619207281,0.08807447853661353
CCL8,-0.016605153351854956,0.02727621547129932
S100A4,0.0831130547102645,-0.007751992770134069
TNFSF13B,-0.004999983766545041,-0.043296543516028525
HSPG2,0.0216454663653506,0.10420206035526498
FAM3C,0.008642693399488751,-0.09372524508105351
FLT3LG,0.00030046224627769993,-0.06209723907879078
A2M,0.042549465854320574,0.026802271779423695
VCL,0.016475106523629247,0.11017837283284834
FGF2,-0.03039040030413882,-0.02123688740799095
AGRP,-0.013573741028315387,
RNASE2,-0.02372729451944143,-0.0006767682894296361
ADM2,-0.01932970874631768,0.02868803828819041
GAL,-0.01581757552236265,0.07544788470611481
CXCL6,,-0.03185266491232857
PDGFC,0.008713640169861751,0.003597919708646335
COL8A2,-0.058058283078526694,0.03878087888622562
SPON2,0.015548850908337172,0.06874851060001291
SEMA3D,-0.016758568355816277,
BMP6,,-0.013745149220996598
TIMP2,0.02100434887957256,0.012070488134848251
EFNA1,0.071491813580703,0.009724634566261135
S100A12,-0.016450426908250753,-0.01921105661072816
TFPI,0.042958876626432864,0.12629015414081593
GPC3,0.031981350281208284,0.0992084433922322
NMU,-0.010665609350533683,-0.014206119258394267
SCGB3A2,,0.07673994215192673
LAMB3,-0.015590880471968856,0.0348531364090825
LGALS9,-0.006884498003449855,-0.0035976498160486233
VIM,0.004049230358601231,0.07016270202750549
PLAU,0.0650735334386262,0.040338911598469605
TGFB3,0.06370360973297358,0.05496883136954038
APLN,0.018238187826188277,0.0655032989105433
SHANK2,,-0.02741729734020675
LTF,,-0.04176413798204671
PYY,-0.013004526676726339,0.02742893338652398
PENK,,-0.020882621094584372
CTF1,-0.02781937398422547,-0.003912532645524024
COL3A1,-0.02284343277778913,0.059068859664101636
S100A10,0.06048044978500341,-0.0031462100618461094
FGF13,-0.01629434453488609,-0.014056902444702509
SEMA4A,-0.032016143378054536,-0.007997612248671638
EFNA4,0.03863844920528619,-0.015824635495984125
HSPA8,0.04185438026498713,-0.0032026312568119763
NPB,,-0.011969783307369045
ULBP1,-0.022813767194894318,0.009027637603206065
SEMA3E,-0.019195053693147255,0.005135282179602749
ADAM9,0.05093142553102216,-0.050705272516354316
ASIP,-0.011331506602048456,0.05991331082327508
IBSP,0.04184600476422112,0.051584449648191956
MMP12,-0.01464940665132082,
FAT4,-0.042273682570627115,-0.0013826776466293526
MDK,-0.02051873716971013,-0.043643344520183494
BMP5,,-0.045853412023110336
CAMP,,-0.02281371150873044
HSPA1A,-0.08865564786088237,0.00829440291752032
SEMA3F,0.03597352232341279,0.0947388901838032
ARF6,0.002414951782225539,0.01593693724027517
IL6,0.0331828441980974,0.05649654724467159
CALM1,-0.005340337537006358,0.02853118735821817
VIP,,0.16782458362947267
NMB,0.014381753114217804,0.03660861495519463
CCL26,-0.039696042053443535,0.053768309891943325
FBLN1,0.016611605824962745,0.002006779083155192
SAA1,-0.032980397407051214,-0.008359483943744686
MICB,-0.025471182172833336,0.04024600259437932
MMP13,0.013230912690776402,0.05854455023804921
F13A1,0.006332028762651574,-0.058869683996063384
CXCL11,,-0.008277110958159466
COL5A2,-0.02175504713374147,0.0689813393350933
EFNA5,-0.015638813761677223,-0.02649683231463457
AREG,0.012174532017941886,0.001132427389282829
EDIL3,0.020755590709701767,0.05107835005465113
CD86,0.04048384151720826,-0.08315498811984244
HRAS,-0.005491699615842111,0.060385442704562524
C1QTNF5,,-0.042476525639055525
RLN1,,-0.01641158955001343
COL4A1,0.07059286952429482,0.11237829144246232
CCL3,0.02103831014039354,-0.042400174098273125
BGN,0.009363558200375571,0.08238881290620881
RETN,-0.012809461858365023,-0.028504078883937932
S100A9,0.028604677935876073,-0.056560563578881146
HCRT,,0.031888443585955654
FADD,-0.04468937732743679,-0.03413107602816987
ACTR2,0.01990968530463248,0.034652594319813004
BMP2,-0.027790743642909274,0.056484717757362454
CD55,-0.03529686909265012,0.039623125457457255
CD6,-0.021625834352395568,0.01861317988241658
IL16,0.039923303028824346,0.02843993137539246
LAMA5,-0.007188944609313766,0.04323584232049698
RGMB,-0.0035519994781592025,0.042058002042480044
INSL5,,-0.028656464906450477
IL12A,,-0.01881025502652114
S100A8,0.006971341270134367,-0.01741615477783054
TAC3,,0.06849053088839407
MFAP5,-0.01451686219742684,-0.03639171152219684
CXCL16,0.004139405507871978,-0.054475925675006164
AGRN,0.03529233966335009,0.1380445177744484
COL4A6,,-0.03799472760312727
FST,-0.024612094775189167,-0.030305739728916103
MEGF10,0.05401261010160588,-0.02972866454955135
C1QB,0.018325387521303773,-0.08742443986137242
HLA-B,0.023039667264133423,0.07180443553421015
PDGFA,-0.05587420080051933,0.015849403394396354
LAMA3,0.059267302243012396,-0.018386211869408357
DKK1,,-0.0075997129774522595
INHBA,-0.04017601834713169,0.004567049832640618
LEP,,-0.016661755650993707
IL7,-0.021010197589693757,-0.03268080390546388
FABP5,0.06854490984919688,-0.0636007282920862
CCL4,-0.0013503585828867496,-0.03479342264119277
FBN1,0.02617496897669445,0.010287238984398756
TCTN1,-0.00570165771366867,-0.05268161568854919
BMP7,-0.02722252920144265,0.04844251670754022
NLGN2,0.030125766362670094,-0.07686738262082675
CCL25,,-0.02579685413718768
NPNT,-0.027518080733429106,0.01281782397327946
KITLG,0.05211553816617207,0.014300277417084138
MADCAM1,,-0.025896231326460063
F12,-0.02677005642859103,0.011187837628482992
S100B,0.004748873185767165,-0.03713380413187209
IL27,,-0.029704532200811096
CD99,0.06933964078749087,-0.06274215965925746
PDGFB,0.0312554103036927,0.07511333420675317
CLEC2D,0.0039593538861496256,0.07294534666421353
F8,0.012959586425689316,0.02785609680832193
C3,-0.04114958923903368,-0.10348811193103724
DLK2,0.022816594817484232,-0.01854841000213214
TSLP,-0.015492188629367147,0.04749012373909057
OSM,0.036014186817630446,-0.04286945441670866
PRND,-0.00880694626169468,-0.02167383574675419
SLPI,-0.0010959647072216125,-0.08492230471733098
AFDN,0.007665489293485903,-0.041289112353725343
ULBP2,-0.0149618810930519,-0.0057090911021253
ICAM4,,-0.019853128598725348
ANGPTL1,-0.03024432637641362,-0.029408292465012458
LTBP1,-0.03467474889572399,0.09158935167468625
NTN4,0.021450176029206628,-0.011440094381649193
APP,0.017280311564538707,0.08509497999776934
RIMS2,-0.00027637328102530487,-0.020476547371990485
WNT7A,,-0.0077591189819678115
GAST,,-0.022813706300887217
GPI,-0.029363210710419606,-0.009109522214462403
IL1B,-0.010412407304238392,-0.06561347248286013
HAS2,0.014604541267721226,-0.049432078063916016
IL11,-0.012410593245720313,0.08205720491157276
SEMA4B,0.021606761727147955,-0.042459486256923085
FGF12,-0.03245701115774494,-0.04145998626618892
CP,-0.039944218948851584,-0.01794891287442621
NLGN3,-0.022580485531337485,0.05596408450356407
GZMB,0.02223267506801189,-0.007119462924559307
PROC,,0.021244638504946727
TNFSF11,-0.021010196138373818,0.03060897812312261
AGT,0.0033625704764757387,-0.004358167306574589
PTHLH,-0.03347130253687061,-0.03187670780674446
COL1A1,0.03213154439934519,0.044659182467458626
LAMB2,-0.06201144668960342,0.05449455529958524
DSC2,0.016195879891424875,-0.009224427887133521
WNT5B,0.0064593743320916445,-0.029101044963679684
LEFTY1,,-0.03428395682259779
CXCL5,0.06119379669364174,0.0462505174024925
S100A1,-0.014821547561912706,-0.033507617018541845
C4BPA,,-0.01666175156773848
NPTX1,-0.012206499785399675,
TGS1,-3.1387215886529244e-05,0.025750513208770618
IL34,-0.03280661016088668,0.08999780231613193
DHH,,0.04099718984723484
XCL2,-0.016136865974094694,-0.017391808793313535
TF,0.0251513111402534,-0.04615872995116382
IL33,-0.02547117865034646,-0.02179759715985626
RBP4,0.001052848086725512,0.023965224416683657
CCL19,-0.019059539278130328,-0.0318526710195817
CCL20,-0.01878590639802804,-0.031212248953472875
NAMPT,-0.02722967498109034,-0.11107775424563389
