,UKF259,UKF296,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
CLEC2B,0.008612597718599594,0.07883006447768114,-0.0015215295265150236,0.018842873700481596,-0.045167825347966595,0.04152457049137698,-7.682601362917685e-05
NTNG1,0.030672542503557214,0.05306441928088309,-0.042033078170217626,-0.029277044878406856,0.05169609806149551,-0.011872622211442297,0.002572780873274708
LRIG1,0.04684859909465084,-0.031677687341394554,0.054522706781531975,0.0005112650316132409,0.07262270448149459,0.08597113996581635,-0.018854415257472616
CPAMD8,-0.006139267167897925,-0.020723405490896935,,,-0.01849126058072361,-0.051719868970181763,
GHRL,-0.026782864599947623,-0.010210822045254173,-0.05404837140021441,,,-0.03257007327221947,0.06552931082375292
NPY,0.005082673011509436,0.05491352368510467,-0.031466128552331926,0.013681314079175208,-0.004307984405186683,0.0022791188088099766,0.013575605146921216
MMP2,-0.004119130606737461,0.03179839342652269,0.045930461268963454,0.1115884009607098,-0.04571685316623137,0.11615189991098898,-0.07414199988026342
LHB,-0.01782013455136276,,,,,,
PPY,-0.012360552528580369,,,0.0390168611163167,0.05883615261816176,,-0.003436225624621835
ALKAL2,-0.017561235790969854,-0.0271493878096998,0.10964963231193042,0.07288507540270862,0.014632371832464634,-0.022667922544286498,-0.002942956721428774
CSF1,0.02213654347391127,0.020374654876363616,0.038696818754311885,0.020924613630962572,0.024717855394032446,0.049161184270663814,0.06521322283403336
SEMA4C,0.015069323101159883,0.022135814838386555,0.005573025933183511,0.024995233622357293,0.013539392482573192,0.09392357590820805,-0.01450907898427566
ICAM2,-0.053328800164309284,-0.03284072642605684,0.06880402284404627,0.0519670164801713,-0.029120328340743015,0.04232264077377399,0.036055812230078046
SYTL3,0.05595168844798718,-0.02300316967839027,-0.022220655218584934,0.06793997829445593,0.055857031488589726,0.03621280714172185,0.05836336679795149
IL1A,0.05568315541440436,-0.007187360331013707,-0.06638556572625323,-0.039202619344309186,0.02681203701548141,0.0004554236865153161,-0.002502510889843245
HLA-G,-0.0033999834989731554,,-0.04256562155644784,-0.008170083491751247,0.015125191235129943,,-0.03736775104060644
PGF,-0.013650983602908945,-0.018462959687660957,0.06369261846030416,0.0381144090919021,-0.05170484661362989,-0.01568996642271001,0.082427704202796
LGALS8,-0.0409386400444203,-0.02445089190096791,0.021869388643072116,-0.00729068164412547,0.014833936883478742,-0.05740059833196917,-0.041329559407548726
DKK3,0.008523954706865622,-0.03444459382888755,0.04905610926822441,0.08995926713503778,0.00584312659727691,0.006796039570941418,-0.029149372237309283
COL16A1,0.005906650957551952,-0.02506595551472273,0.0833559676089979,0.10678042258647172,0.0035622692415335604,0.019837589308030746,0.03217857604747693
TPH1,0.019376869563585822,,-0.01551414675168236,-0.03759726889848215,-0.0007024377750153135,-0.020407075197957352,0.03924857119088842
TNC,0.012596967360875963,-0.02899843355684871,-0.04625491305904031,0.01223244698732183,-0.01798190083559201,0.044368891675068474,0.05270830624519207
TNFSF9,0.02493114652614346,-0.01705515647121311,,-0.03813764027031806,-0.041350532600411986,0.03594355431393761,0.07733749218217595
C4A,-0.02112680357232906,,0.04132002946737011,-0.01727571415638618,,-0.03514173539643541,0.05011381196887865
